detector_slug,dataset,precision,recall,f1,threshold,wall_time_s,dqt_version,timestamp
adjusted_boxplot_fraction,synthetic_normal,0.8333,1.0,0.9091,0.0,0.0029,1.0.0,2026-05-14T11:52:16.412842
adwin,synthetic_normal_vs_shifted,0.8333,1.0,0.9091,0.0,0.0017,1.0.0,2026-05-14T11:52:16.414833
auto_outlier,synthetic_normal,0.9091,1.0,0.9524,0.0,0.0013,1.0.0,2026-05-14T11:52:16.420829
benford_law_fit,benford_compliance,0.9091,1.0,0.9524,0.0,0.0084,1.0.0,2026-05-14T11:52:16.429792
bocpd,synthetic_sinusoidal_shift,1.0,1.0,1.0,0.0,0.724,1.0.0,2026-05-14T11:52:17.154344
callable_check,callable_threshold,1.0,1.0,1.0,0.0,0.0019,1.0.0,2026-05-14T11:52:17.157343
cardinality_in_range,cardinality,1.0,1.0,1.0,0.0,0.0018,1.0.0,2026-05-14T11:52:17.159169
chi_square_drift,synthetic_normal_vs_shifted,0.0,0.0,0.0,0.0,0.0762,1.0.0,2026-05-14T11:52:17.237842
column_pair_comparison,column_pair,1.0,1.0,1.0,0.0,0.0014,1.0.0,2026-05-14T11:52:17.239845
completeness,completeness_rate,1.0,1.0,1.0,0.0,0.0013,1.0.0,2026-05-14T11:52:17.240778
composite_uniqueness,composite_key_violation,1.0,1.0,1.0,0.0,0.0017,1.0.0,2026-05-14T11:52:17.242751
cramers_v,synthetic_correlation_shift,0.0,0.0,0.0,0.0,0.0127,1.0.0,2026-05-14T11:52:17.258190
cusum,synthetic_sinusoidal_shift,1.0,1.0,1.0,0.0,0.0028,1.0.0,2026-05-14T11:52:17.261686
date_format,date_format_compliance,1.0,1.0,1.0,0.0,0.0014,1.0.0,2026-05-14T11:52:17.263833
date_part_missing_fraction,date_part_missing,1.0,1.0,1.0,0.0,0.0014,1.0.0,2026-05-14T11:52:17.264819
double_mad_outlier_fraction,synthetic_normal,1.0,1.0,1.0,0.0,0.0013,1.0.0,2026-05-14T11:52:17.267816
ecod,synthetic_multivariate,1.0,1.0,1.0,0.0,0.0027,1.0.0,2026-05-14T11:52:17.271931
freshness_seconds_behind,freshness,1.0,1.0,1.0,0.0,0.0024,1.0.0,2026-05-14T11:52:17.273923
generalized_esd,synthetic_normal,1.0,1.0,1.0,0.0,0.0257,1.0.0,2026-05-14T11:52:17.300343
grubbs,synthetic_normal,0.9091,1.0,0.9524,0.0,0.0024,1.0.0,2026-05-14T11:52:17.304388
hbos,synthetic_multivariate,1.0,1.0,1.0,0.0,0.003,1.0.0,2026-05-14T11:52:17.308393
holt_winters,synthetic_sinusoidal_shift,0.5,1.0,0.6667,0.0,0.0288,1.0.0,2026-05-14T11:52:17.574667
iqr_fence,synthetic_normal,1.0,1.0,1.0,0.0,0.0012,1.0.0,2026-05-14T11:52:17.577666
isolation_forest_fraction,synthetic_multivariate,0.5882,1.0,0.7407,0.0,0.1677,1.0.0,2026-05-14T11:52:18.296244
js_divergence,synthetic_normal_vs_shifted,1.0,1.0,1.0,0.0,0.0045,1.0.0,2026-05-14T11:52:18.303193
kl_divergence,synthetic_normal_vs_shifted,1.0,1.0,1.0,0.0,0.0042,1.0.0,2026-05-14T11:52:18.309143
ks_pvalue,synthetic_normal_vs_shifted,1.0,1.0,1.0,0.0,0.0366,1.0.0,2026-05-14T11:52:18.349101
lof,synthetic_multivariate,1.0,1.0,1.0,0.0,0.0401,1.0.0,2026-05-14T11:52:18.404080
mad_outlier_fraction,synthetic_normal,0.0,0.0,0.0,0.0,0.006,1.0.0,2026-05-14T11:52:18.413842
mahalanobis_distance,synthetic_multivariate,1.0,1.0,1.0,0.0,0.0032,1.0.0,2026-05-14T11:52:18.419883
matrix_profile,synthetic_sinusoidal_shift,1.0,0.1,0.1818,0.0,0.5352,1.0.0,2026-05-14T11:52:18.974843
max_in_range,max_value,1.0,1.0,1.0,0.0,0.0044,1.0.0,2026-05-14T11:52:18.980377
median_in_range,median_value,1.0,1.0,1.0,0.0,0.0058,1.0.0,2026-05-14T11:52:18.986389
min_in_range,min_value,1.0,1.0,1.0,0.0,0.0057,1.0.0,2026-05-14T11:52:18.992948
mmd,synthetic_normal_vs_shifted,1.0,1.0,1.0,0.0,0.2151,1.0.0,2026-05-14T11:52:19.211598
monotonicity,monotonicity_dip,1.0,1.0,1.0,0.0,0.0029,1.0.0,2026-05-14T11:52:19.216776
mutual_information,synthetic_correlation_shift,0.5,1.0,0.6667,0.0,0.0126,1.0.0,2026-05-14T11:52:19.231933
null_fraction,null_rate,1.0,1.0,1.0,0.0,0.0036,1.0.0,2026-05-14T11:52:19.235970
numeric_mean,mean_value,1.0,1.0,1.0,0.0,0.0029,1.0.0,2026-05-14T11:52:19.239085
one_class_svm,synthetic_multivariate,0.5,1.0,0.6667,0.0,0.0181,1.0.0,2026-05-14T11:52:19.261442
outlier_fraction_drift,outlier_fraction_history,1.0,1.0,1.0,0.0,0.0094,1.0.0,2026-05-14T11:52:19.272326
page_hinkley,synthetic_sinusoidal_shift,1.0,1.0,1.0,0.0,0.0075,1.0.0,2026-05-14T11:52:19.283733
prophet_anomaly,error,0.0,0.0,0.0,0.0,0.0,1.0.0,2026-05-14T11:52:19.292355
psi,synthetic_normal_vs_shifted,0.625,1.0,0.7692,0.0,0.0086,1.0.0,2026-05-14T11:52:19.304678
quantile_in_range,quantile,1.0,1.0,1.0,0.0,0.0065,1.0.0,2026-05-14T11:52:19.311836
referential_integrity_rate,fk_integrity,1.0,1.0,1.0,0.0,0.0076,1.0.0,2026-05-14T11:52:19.319875
regex_match,regex_compliance,1.0,1.0,1.0,0.0,0.0068,1.0.0,2026-05-14T11:52:19.326919
remote_check,skipped_no_endpoint,0.0,0.0,0.0,0.0,0.0,1.0.0,2026-05-14T11:52:19.326919
row_count_in_range,row_count_windowed,1.0,1.0,1.0,0.0,0.0062,1.0.0,2026-05-14T11:52:19.333962
schema_change,schema_column_removal,1.0,1.0,1.0,0.0,0.0029,1.0.0,2026-05-14T11:52:19.341575
set_exclusion,set_exclusion,1.0,1.0,1.0,0.0,0.0068,1.0.0,2026-05-14T11:52:19.349241
set_membership,set_compliance,1.0,1.0,1.0,0.0,0.0073,1.0.0,2026-05-14T11:52:19.356648
sql_assertion_violation,sql_assertion,1.0,1.0,1.0,0.0,0.0065,1.0.0,2026-05-14T11:52:19.363789
stddev_in_range,stddev_value,1.0,1.0,1.0,0.0,0.0068,1.0.0,2026-05-14T11:52:19.371773
stl_residual_zscore,synthetic_sinusoidal_shift,0.5,1.0,0.6667,0.0,0.5058,1.0.0,2026-05-14T11:52:20.051361
string_case_violation,case_compliance,1.0,1.0,1.0,0.0,0.0035,1.0.0,2026-05-14T11:52:20.055354
string_length_range,string_length,1.0,1.0,1.0,0.0,0.0032,1.0.0,2026-05-14T11:52:20.059341
