order_id,amount,quantity,customer_id,created_at,is_outlier
O000000,66.38,1,C04221,2024-01-01 00:00:00,0
O000001,93.93,6,C02446,2024-01-01 00:02:00,0
O000002,34.18,12,C02780,2024-01-01 00:04:00,0
O000003,26.39,7,C01422,2024-01-01 00:06:00,0
O000004,11.1,7,C02722,2024-01-01 00:08:00,0
O000005,118.78,2,C04214,2024-01-01 00:10:00,0
O000006,55.33,4,C02187,2024-01-01 00:12:00,0
O000007,64.37,13,C04822,2024-01-01 00:14:00,0
O000008,29.17,2,C02886,2024-01-01 00:16:00,0
O000009,145.65,10,C04746,2024-01-01 00:18:00,0
O000010,116.11,7,C02248,2024-01-01 00:20:00,0
O000011,49.53,8,C02273,2024-01-01 00:22:00,0
O000012,35.0,6,C00016,2024-01-01 00:24:00,0
O000013,41.04,14,C03832,2024-01-01 00:26:00,0
O000014,28.82,4,C00550,2024-01-01 00:28:00,0
O000015,55.77,6,C00174,2024-01-01 00:30:00,0
O000016,33.35,9,C04253,2024-01-01 00:32:00,0
O000017,87.22,9,C04626,2024-01-01 00:34:00,0
O000018,40.95,2,C04763,2024-01-01 00:36:00,0
O000019,41.13,17,C02278,2024-01-01 00:38:00,0
O000020,186.76,11,C00149,2024-01-01 00:40:00,0
O000021,30.55,15,C00179,2024-01-01 00:42:00,0
O000022,15.58,11,C00681,2024-01-01 00:44:00,0
O000023,73.18,9,C00087,2024-01-01 00:46:00,0
O000024,10.36,13,C02337,2024-01-01 00:48:00,0
O000025,67.46,8,C03867,2024-01-01 00:50:00,0
O000026,119.75,19,C03918,2024-01-01 00:52:00,0
O000027,57.75,17,C00505,2024-01-01 00:54:00,0
O000028,55.0,17,C04502,2024-01-01 00:56:00,0
O000029,10.59,3,C02080,2024-01-01 00:58:00,0
O000030,85.14,18,C01279,2024-01-01 01:00:00,0
O000031,74.97,5,C01798,2024-01-01 01:02:00,0
O000032,21.38,16,C01153,2024-01-01 01:04:00,0
O000033,252.28,17,C03750,2024-01-01 01:06:00,0
O000034,20.51,18,C02950,2024-01-01 01:08:00,0
O000035,14.25,19,C02130,2024-01-01 01:10:00,0
O000036,12.82,8,C03218,2024-01-01 01:12:00,0
O000037,55.74,9,C00195,2024-01-01 01:14:00,0
O000038,71.54,2,C00405,2024-01-01 01:16:00,0
O000039,77.69,10,C00736,2024-01-01 01:18:00,0
O000040,41.68,6,C01244,2024-01-01 01:20:00,0
O000041,28.5,12,C03893,2024-01-01 01:22:00,0
O000042,107.15,10,C00694,2024-01-01 01:24:00,0
O000043,26.63,7,C02667,2024-01-01 01:26:00,0
O000044,20.74,17,C03717,2024-01-01 01:28:00,0
O000045,167.51,15,C04085,2024-01-01 01:30:00,0
O000046,62.93,6,C02536,2024-01-01 01:32:00,0
O000047,79.6,5,C04260,2024-01-01 01:34:00,0
O000048,90.08,14,C00132,2024-01-01 01:36:00,0
O000049,34.56,4,C03221,2024-01-01 01:38:00,0
O000050,35.65,12,C02119,2024-01-01 01:40:00,0
O000051,91.15,2,C04908,2024-01-01 01:42:00,0
O000052,33.32,6,C03012,2024-01-01 01:44:00,0
O000053,71.44,3,C04791,2024-01-01 01:46:00,0
O000054,50.83,16,C03815,2024-01-01 01:48:00,0
O000055,21.0,6,C03830,2024-01-01 01:50:00,0
O000056,118.29,7,C03827,2024-01-01 01:52:00,0
O000057,19.46,17,C01926,2024-01-01 01:54:00,0
O000058,65.78,15,C01336,2024-01-01 01:56:00,0
O000059,57.6,19,C02580,2024-01-01 01:58:00,0
O000060,150.4,13,C03294,2024-01-01 02:00:00,0
O000061,22.29,1,C03487,2024-01-01 02:02:00,0
O000062,35.36,8,C02715,2024-01-01 02:04:00,0
O000063,50.39,1,C02467,2024-01-01 02:06:00,0
O000064,63.1,2,C01816,2024-01-01 02:08:00,0
O000065,109.37,16,C01473,2024-01-01 02:10:00,0
O000066,70.03,12,C02678,2024-01-01 02:12:00,0
