date,gig_category,avg_price_usd,median_price_usd,min_price_usd,max_price_usd,n_listings,discount_active,price_change_pct
2024-01-01,AI/ML Development,628.98,673.73,298.99,911.49,3161,False,
2024-01-01,Content Writing,69.45,63.92,50.08,98.25,6665,False,
2024-01-01,Data Analysis,326.43,301.83,230.65,516.54,2237,False,
2024-01-01,Financial Modeling,543.24,504.19,326.18,916.78,1363,False,
2024-01-01,Graphic Design,121.35,113.52,71.04,192.43,5684,False,
2024-01-01,Legal Consulting,779.22,792.03,548.79,1115.02,594,False,
2024-01-01,Mobile App,640.9,669.2,452.82,930.74,3837,False,
2024-01-01,Music Production,211.83,210.22,105.8,328.77,1877,False,
2024-01-01,Photography,128.16,131.01,63.23,193.61,3972,False,
2024-01-01,SEO/SEM,258.94,255.28,167.59,344.09,4266,False,
2024-01-01,Social Media Management,201.71,200.86,91.63,293.63,2856,False,
2024-01-01,Translation,74.06,72.42,33.03,147.77,5911,False,
2024-01-01,Video Production,332.96,311.46,179.1,524.31,1661,False,
2024-01-01,Virtual Assistant,50.66,49.11,23.84,93.43,4430,False,
2024-01-01,Web Development,470.33,442.81,227.05,896.09,6166,False,
2024-01-02,AI/ML Development,736.37,714.27,436.85,1298.5,1680,False,
2024-01-02,Content Writing,62.6,67.15,45.63,90.52,8122,False,
2024-01-02,Data Analysis,384.68,394.38,258.42,528.43,6855,False,
2024-01-02,Financial Modeling,496.78,460.85,289.8,850.81,1178,False,
2024-01-02,Graphic Design,125.15,119.38,59.35,248.83,4780,False,
2024-01-02,Legal Consulting,717.15,699.67,456.65,1000.37,482,False,
2024-01-02,Mobile App,606.28,567.11,291.54,984.36,1758,False,
2024-01-02,Music Production,236.63,239.91,97.71,447.56,1270,False,
2024-01-02,Photography,171.58,184.93,111.43,229.35,3577,False,
2024-01-02,SEO/SEM,223.47,241.24,90.52,345.82,4112,False,
2024-01-02,Social Media Management,184.65,182.27,103.45,302.11,5140,False,
2024-01-02,Translation,87.76,93.59,34.01,177.39,3575,False,
2024-01-02,Video Production,305.85,299.81,196.98,520.84,1193,False,
2024-01-02,Virtual Assistant,58.99,62.99,28.53,86.3,4661,False,
2024-01-02,Web Development,449.58,470.64,206.11,692.29,6213,False,
2024-01-03,AI/ML Development,621.99,623.79,414.12,973.47,3990,False,
2024-01-03,Content Writing,63.15,64.65,37.78,89.65,8460,False,
2024-01-03,Data Analysis,413.55,439.7,301.43,543.53,4588,False,
2024-01-03,Financial Modeling,476.71,457.01,290.81,679.86,1328,False,
2024-01-03,Graphic Design,136.06,136.05,68.7,265.73,5703,False,
2024-01-03,Legal Consulting,853.73,888.94,485.0,1271.17,957,False,
2024-01-03,Mobile App,671.96,671.88,379.15,1183.02,2683,False,
2024-01-03,Music Production,199.54,212.68,91.31,319.23,789,False,
2024-01-03,Photography,157.54,169.91,88.78,240.36,2477,False,
2024-01-03,SEO/SEM,263.65,263.41,181.7,421.64,8445,False,
2024-01-03,Social Media Management,167.77,157.58,95.99,309.27,3485,False,
2024-01-03,Translation,73.24,72.28,41.89,120.48,4513,False,
2024-01-03,Video Production,301.21,278.15,157.64,547.39,2156,False,
2024-01-03,Virtual Assistant,46.45,44.73,18.3,73.67,5486,False,
2024-01-03,Web Development,428.87,438.54,261.29,630.38,3951,False,
2024-01-04,AI/ML Development,602.38,625.56,309.56,1077.67,2950,False,
2024-01-04,Content Writing,62.61,62.57,24.15,124.4,6764,False,
