date,gig_category,n_active_vendors,n_new_vendors,avg_vendor_rating,top_rated_fraction,total_profile_views,avg_profile_views,search_impressions,click_through_rate,avg_response_time_hours
2025-01-01,AI/ML Development,1651,10,4.51,0.152,8812.0,5.3,113433.0,0.036,16.4
2025-01-01,Content Writing,7474,25,3.98,0.139,35363.0,4.7,426776.0,0.0433,10.0
2025-01-01,Data Analysis,2561,48,4.25,0.187,11958.0,4.7,201053.0,0.0494,7.2
2025-01-01,Financial Modeling,802,6,4.44,0.16,3702.0,4.6,51424.0,0.0322,8.0
2025-01-01,Graphic Design,5011,51,4.09,0.134,19755.0,3.9,319035.0,0.0388,15.4
2025-01-01,Legal Consulting,658,9,4.68,0.127,4129.0,6.3,52966.0,0.0472,6.1
2025-01-01,Mobile App,1829,21,4.25,0.149,7651.0,4.2,92862.0,0.0505,10.7
2025-01-01,Music Production,1272,10,3.88,0.205,5963.0,4.7,106235.0,0.0516,8.1
2025-01-01,Photography,1844,15,4.04,0.17,9607.0,5.2,151776.0,0.0405,12.5
2025-01-01,SEO/SEM,2381,17,4.04,0.103,12202.0,5.1,164120.0,0.0482,19.2
2025-01-01,Social Media Management,3316,15,3.86,0.176,13349.0,4.0,191575.0,0.0399,7.4
2025-01-01,Translation,4109,17,3.97,0.149,17354.0,4.2,261669.0,0.0372,11.8
2025-01-01,Video Production,1574,8,4.14,0.154,8807.0,5.6,107263.0,0.0519,2.9
2025-01-01,Virtual Assistant,4058,34,3.86,0.081,15226.0,3.8,235163.0,0.056,4.1
2025-01-01,Web Development,3237,46,4.39,0.1,14922.0,4.6,210973.0,0.0486,7.8
2025-01-02,AI/ML Development,1957,17,4.48,0.114,8460.0,4.3,151413.0,0.0417,3.0
2025-01-02,Content Writing,6324,27,3.97,0.173,19497.0,3.1,296580.0,0.0452,6.7
2025-01-02,Data Analysis,2863,11,4.3,0.145,13719.0,4.8,206449.0,0.0467,18.6
2025-01-02,Financial Modeling,941,10,4.52,0.118,3340.0,3.5,55870.0,0.046,7.1
2025-01-02,Graphic Design,5006,44,4.2,0.111,16336.0,3.3,232104.0,0.0478,13.4
2025-01-02,Legal Consulting,677,2,4.65,0.106,2662.0,3.9,35689.0,0.0513,20.7
2025-01-02,Mobile App,1888,14,4.29,0.088,9022.0,4.8,156677.0,0.0509,12.5
2025-01-02,Music Production,1157,7,3.95,0.113,3669.0,3.2,48621.0,0.0464,25.3
2025-01-02,Photography,1935,11,4.17,0.207,6143.0,3.2,90079.0,0.0417,10.2
2025-01-02,SEO/SEM,2279,9,4.11,0.167,9787.0,4.3,169254.0,0.0244,8.0
2025-01-02,Social Media Management,3342,17,3.8,0.12,11868.0,3.6,199302.0,0.0442,4.8
2025-01-02,Translation,4139,19,4.04,0.128,18524.0,4.5,305361.0,0.0461,3.4
