transaction_id,date,gig_category,seller_country,buyer_country,seller_profession,amount_usd,currency,payment_method,status,completion_days,rating,is_repeat_buyer,platform_fee_usd,seller_level,week_number
TXN-1400196,2025-01-01,Virtual Assistant,IN,FR,HR Manager,29.27,GBP,credit_card,completed,2,4.2,False,5.85,top_rated,1
TXN-1400080,2025-01-01,Financial Modeling,GB,IN,Accountant,102.73,USD,paypal,completed,7,3.9,False,20.55,new_seller,1
TXN-1400180,2025-01-01,Photography,JP,US,Designer,14.34,USD,credit_card,completed,4,4.2,True,2.87,rising_talent,1
TXN-1400181,2025-01-01,Graphic Design,IN,US,Designer,73.5,USD,paypal,completed,5,4.1,False,14.7,level_2,1
TXN-1400077,2025-01-01,Legal Consulting,US,BR,Lawyer,30.4,USD,paypal,completed,20,4.8,True,6.08,level_2,1
TXN-1400076,2025-01-01,Content Writing,US,US,Writer,133.57,USD,bank_transfer,completed,4,4.2,True,26.71,level_1,1
TXN-1400183,2025-01-01,AI/ML Development,US,US,Data Scientist,733.88,USD,paypal,completed,17,4.7,False,146.78,rising_talent,1
TXN-1400177,2025-01-01,Social Media Management,IL,AU,Marketing Manager,636.73,USD,paypal,completed,4,4.8,False,127.35,top_rated,1
TXN-1400068,2025-01-01,Content Writing,SG,US,Writer,718.7,USD,credit_card,completed,3,4.2,False,143.74,level_2,1
TXN-1400061,2025-01-01,Social Media Management,FR,US,Marketing Manager,118.61,USD,bank_transfer,completed,6,4.4,False,23.72,level_1,1
TXN-1400201,2025-01-01,Photography,US,CA,Designer,159.93,USD,bank_transfer,completed,2,4.4,True,31.99,new_seller,1
TXN-1400210,2025-01-01,Data Analysis,AU,NL,Data Scientist,55.79,USD,paypal,completed,9,4.7,True,11.16,new_seller,1
TXN-1400046,2025-01-01,Data Analysis,US,US,Data Scientist,494.33,USD,paypal,completed,7,3.8,True,98.87,new_seller,1
TXN-1400045,2025-01-01,Web Development,US,US,Software Engineer,31.55,USD,paypal,completed,10,2.3,False,6.31,level_2,1
TXN-1400211,2025-01-01,Data Analysis,BR,NL,Data Scientist,273.04,USD,paypal,completed,7,3.7,False,54.61,level_2,1
TXN-1400064,2025-01-01,Mobile App,DE,IL,Software Engineer,140.4,USD,paypal,completed,30,4.1,True,28.08,level_1,1
TXN-1400175,2025-01-01,Video Production,US,US,Designer,209.71,USD,credit_card,completed,7,3.6,True,41.94,rising_talent,1
TXN-1400085,2025-01-01,Mobile App,FR,ZA,Software Engineer,5.0,GBP,credit_card,completed,5,4.1,True,1.0,level_2,1
TXN-1400171,2025-01-01,Legal Consulting,NL,GB,Lawyer,178.35,USD,credit_card,completed,12,4.3,False,35.67,level_2,1
TXN-1400130,2025-01-01,Music Production,GB,AU,Designer,164.47,USD,credit_card,completed,9,2.8,False,32.89,level_2,1
TXN-1400126,2025-01-01,SEO/SEM,US,IN,Marketing Manager,55.31,USD,credit_card,completed,6,4.5,False,11.06,level_2,1
TXN-1400123,2025-01-01,Graphic Design,GB,SG,Designer,199.55,USD,credit_card,completed,5,4.8,False,39.91,rising_talent,1
TXN-1400121,2025-01-01,SEO/SEM,ZA,GB,Marketing Manager,211.5,USD,credit_card,completed,6,4.8,True,42.3,level_2,1
TXN-1400144,2025-01-01,Legal Consulting,US,US,Lawyer,70.96,USD,crypto,completed,12,4.1,True,14.19,level_1,1
TXN-1400115,2025-01-01,Mobile App,IN,DE,Software Engineer,33.39,USD,credit_card,completed,30,4.7,False,6.68,level_1,1
TXN-1400151,2025-01-01,Financial Modeling,BR,US,Accountant,31.68,USD,credit_card,completed,6,3.8,True,6.34,level_2,1
TXN-1400109,2025-01-01,SEO/SEM,US,IN,Marketing Manager,808.65,USD,credit_card,completed,5,4.3,False,161.73,rising_talent,1
TXN-1400102,2025-01-01,Mobile App,JP,US,Software Engineer,230.75,USD,paypal,completed,24,4.6,False,46.15,top_rated,1
TXN-1400160,2025-01-01,Virtual Assistant,DE,BR,HR Manager,106.93,INR,credit_card,completed,1,4.7,False,21.39,level_2,1
TXN-1400100,2025-01-01,Legal Consulting,GB,FR,Lawyer,426.12,USD,credit_card,completed,11,4.8,False,85.22,new_seller,1
TXN-1400099,2025-01-01,Financial Modeling,US,NL,Accountant,68.52,USD,paypal,completed,14,2.4,True,13.7,level_2,1
TXN-1400162,2025-01-01,AI/ML Development,GB,GB,Data Scientist,173.39,USD,credit_card,cancelled,12,,True,34.68,rising_talent,1
TXN-1400091,2025-01-01,Data Analysis,DE,DE,Data Scientist,595.02,USD,credit_card,completed,6,4.5,False,119.0,level_1,1
TXN-1400169,2025-01-01,Social Media Management,US,GB,Marketing Manager,75.71,USD,credit_card,completed,4,4.6,False,15.14,rising_talent,1
TXN-1400218,2025-01-01,Photography,DE,US,Designer,59.95,USD,paypal,completed,4,4.4,False,11.99,rising_talent,1
TXN-1400220,2025-01-01,SEO/SEM,US,US,Marketing Manager,384.61,EUR,bank_transfer,completed,10,4.1,True,76.92,rising_talent,1
TXN-1400133,2025-01-01,Financial Modeling,AU,US,Accountant,74.12,USD,crypto,completed,13,1.0,False,14.82,top_rated,1
TXN-1400036,2025-01-01,SEO/SEM,ZA,US,Marketing Manager,170.04,USD,paypal,completed,5,3.5,False,34.01,rising_talent,1
TXN-1400025,2025-01-01,Content Writing,AU,FR,Writer,65.01,USD,credit_card,completed,2,4.3,False,13.0,level_2,1
TXN-1400005,2025-01-01,Social Media Management,IN,US,Marketing Manager,152.88,USD,credit_card,completed,9,4.4,False,30.58,rising_talent,1
TXN-1400021,2025-01-01,Data Analysis,BR,IN,Data Scientist,62.31,USD,paypal,completed,5,4.6,False,12.46,top_rated,1
TXN-1400028,2025-01-01,Content Writing,GB,GB,Writer,136.43,USD,credit_card,completed,4,5.0,True,27.29,level_1,1
TXN-1400239,2025-01-01,Financial Modeling,US,DE,Accountant,124.89,EUR,bank_transfer,completed,10,4.5,False,24.98,level_2,1
TXN-1400015,2025-01-01,Mobile App,US,US,Software Engineer,286.34,USD,bank_transfer,completed,11,3.8,False,57.27,rising_talent,1
TXN-1400026,2025-01-01,Photography,GB,GB,Designer,409.33,USD,credit_card,completed,3,2.9,True,81.87,new_seller,1
TXN-1400014,2025-01-01,Legal Consulting,DE,IN,Lawyer,85.39,USD,bank_transfer,completed,26,4.7,True,17.08,level_1,1
TXN-1400237,2025-01-01,Web Development,US,US,Software Engineer,89.01,USD,credit_card,completed,16,3.8,False,17.8,level_2,1
TXN-1400004,2025-01-01,Translation,US,US,Writer,71.12,USD,bank_transfer,completed,2,3.7,False,14.22,new_seller,1
TXN-1400011,2025-01-01,Financial Modeling,DE,GB,Accountant,118.03,USD,paypal,completed,6,4.5,True,23.61,level_1,1
TXN-1400032,2025-01-01,Content Writing,US,SG,Writer,264.3,USD,paypal,completed,4,4.9,False,52.86,level_2,1
TXN-1400033,2025-01-01,Social Media Management,US,MX,Marketing Manager,66.25,EUR,bank_transfer,cancelled,9,,False,13.25,new_seller,1
TXN-1400010,2025-01-01,Video Production,US,ZA,Designer,174.25,USD,paypal,completed,5,4.2,False,34.85,level_1,1
TXN-1400241,2025-01-01,Translation,DE,DE,Writer,88.63,USD,paypal,completed,2,4.3,False,17.73,rising_talent,1
TXN-1400012,2025-01-01,Mobile App,CA,US,Software Engineer,159.53,USD,paypal,completed,30,4.7,False,31.91,rising_talent,1
TXN-1400155,2025-01-02,Photography,US,AU,Designer,11.5,EUR,credit_card,completed,3,4.4,False,2.3,level_2,1
TXN-1400139,2025-01-02,Legal Consulting,US,DE,Lawyer,322.14,ILS,credit_card,completed,22,4.2,False,64.43,rising_talent,1
TXN-1400111,2025-01-02,Web Development,GB,ZA,Software Engineer,91.9,GBP,credit_card,completed,9,2.3,True,18.38,new_seller,1
TXN-1400231,2025-01-02,Web Development,GB,US,Software Engineer,279.64,USD,paypal,completed,7,4.2,False,55.93,level_1,1
TXN-1400105,2025-01-02,Virtual Assistant,FR,US,HR Manager,408.61,USD,credit_card,completed,2,4.4,False,81.72,level_1,1
TXN-1400232,2025-01-02,SEO/SEM,MX,CA,Marketing Manager,268.39,USD,credit_card,completed,4,5.0,True,53.68,top_rated,1
TXN-1400019,2025-01-02,Data Analysis,JP,MX,Data Scientist,116.49,USD,paypal,completed,8,4.4,False,23.3,top_rated,1
TXN-1400083,2025-01-02,SEO/SEM,GB,IN,Marketing Manager,124.24,EUR,paypal,completed,7,4.1,False,24.85,rising_talent,1
TXN-1400119,2025-01-02,Social Media Management,IN,ZA,Marketing Manager,549.43,EUR,credit_card,completed,6,4.4,True,109.89,level_2,1
